Current_Step,DQN Loss,Zero_Vectors_Ratio,Cumulative_Accuracy,Action_1_Ratio
9160,-1,0.70,80.95238095238095,0.30
9181,-1,0.65,76.19047619047619,0.35
9202,-1,0.75,100.0,0.25
9223,-1,0.65,100.0,0.35
9244,-1,0.75,90.47619047619048,0.25
9265,-1,0.80,42.857142857142854,0.20
9286,-1,0.80,33.33333333333333,0.20
9307,-1,0.90,14.285714285714285,0.10
9328,-1,0.85,47.61904761904761,0.15
9349,-1,0.70,100.0,0.30
9370,-1,0.75,100.0,0.25
9391,-1,0.70,100.0,0.30
9412,-1,0.80,28.57142857142857,0.20
9433,-1,0.90,0.0,0.10
9454,-1,0.65,95.23809523809523,0.35
9475,-1,0.75,85.71428571428571,0.25
