Current_Step,DQN Loss,Zero_Vectors_Ratio,Cumulative_Accuracy,Action_1_Ratio
5317,-1,0.00,100.0,1.00
5338,-1,0.00,100.0,1.00
5359,-1,0.80,100.0,0.20
5380,-1,0.15,100.0,0.85
5401,-1,0.00,100.0,1.00
5422,-1,0.00,100.0,1.00
5443,-1,1.00,100.0,0.00
5464,-1,0.00,100.0,1.00
5485,-1,0.00,100.0,1.00
5506,-1,0.15,100.0,0.85
5527,-1,0.80,100.0,0.20
5548,-1,0.00,100.0,1.00
5569,-1,0.00,100.0,1.00
5590,-1,0.35,100.0,0.65
5611,-1,0.60,100.0,0.40
5632,-1,0.00,100.0,1.00
5653,-1,0.00,100.0,1.00
5674,-1,0.55,100.0,0.45
5695,-1,0.40,100.0,0.60
5716,-1,0.00,100.0,1.00
5737,-1,0.00,100.0,1.00
5758,-1,0.75,85.71428571428571,0.25
5779,-1,0.20,71.42857142857143,0.80
5800,-1,0.00,100.0,1.00
5821,-1,0.00,100.0,1.00
5842,-1,0.95,85.71428571428571,0.05
5863,-1,0.00,100.0,1.00
5884,-1,0.00,100.0,1.00
5905,-1,0.10,100.0,0.90
5926,-1,0.85,100.0,0.15
5947,-1,0.00,100.0,1.00
5968,-1,0.00,100.0,1.00
5989,-1,0.30,100.0,0.70
6010,-1,0.65,100.0,0.35
6031,-1,0.00,100.0,1.00
6052,-1,0.00,95.23809523809523,1.00
6073,-1,0.50,80.95238095238095,0.50
6094,-1,0.45,47.61904761904761,0.55
6115,-1,0.00,100.0,1.00
6136,-1,0.00,52.38095238095239,1.00
6157,-1,0.70,100.0,0.30
6178,-1,0.25,100.0,0.75
6199,-1,0.00,100.0,1.00
6220,-1,0.00,100.0,1.00
6241,-1,0.90,100.0,0.10
6262,-1,0.05,100.0,0.95
6283,-1,0.00,100.0,1.00
6304,-1,0.05,100.0,0.95
6325,-1,0.90,100.0,0.10
6346,-1,0.00,100.0,1.00
6367,-1,0.00,100.0,1.00
6388,-1,0.25,100.0,0.75
6409,-1,0.70,100.0,0.30
6430,-1,0.00,100.0,1.00
6451,-1,0.00,100.0,1.00
6472,-1,0.45,100.0,0.55
6493,-1,0.50,100.0,0.50
6514,-1,0.00,100.0,1.00
6535,-1,0.00,100.0,1.00
6556,-1,0.65,100.0,0.35
6577,-1,0.30,100.0,0.70
6598,-1,0.00,100.0,1.00
6619,-1,0.00,100.0,1.00
6640,-1,0.85,100.0,0.15
6661,-1,0.10,100.0,0.90
6682,-1,0.00,100.0,1.00
6703,-1,0.00,100.0,1.00
6724,-1,0.95,100.0,0.05
6745,-1,0.00,100.0,1.00
6766,-1,0.00,100.0,1.00
6787,-1,0.20,100.0,0.80
6808,-1,0.75,100.0,0.25
6829,-1,0.00,100.0,1.00
6850,-1,0.00,100.0,1.00
6871,-1,0.40,100.0,0.60
6892,-1,0.55,100.0,0.45
6913,-1,0.00,100.0,1.00
6934,-1,0.00,100.0,1.00
6955,-1,0.60,66.66666666666666,0.40
6976,-1,0.35,42.857142857142854,0.65
6997,-1,0.00,100.0,1.00
7018,-1,0.00,100.0,1.00
7039,-1,0.80,85.71428571428571,0.20
7060,-1,0.15,100.0,0.85
7081,-1,0.00,100.0,1.00
7102,-1,0.00,100.0,1.00
7123,-1,1.00,100.0,0.00
7144,-1,0.00,100.0,1.00
7165,-1,0.00,100.0,1.00
7186,-1,0.15,100.0,0.85
7207,-1,0.80,100.0,0.20
7228,-1,0.00,100.0,1.00
7249,-1,0.00,100.0,1.00
7270,-1,0.35,100.0,0.65
7291,-1,0.60,100.0,0.40
7312,-1,0.00,100.0,1.00
7333,-1,0.00,100.0,1.00
7354,-1,0.55,100.0,0.45
7375,-1,0.40,100.0,0.60
7396,-1,0.00,100.0,1.00
7417,-1,0.00,100.0,1.00
7438,-1,0.75,100.0,0.25
7459,-1,0.20,100.0,0.80
7480,-1,0.00,100.0,1.00
7501,-1,0.00,100.0,1.00
7522,-1,0.95,100.0,0.05
7543,-1,0.00,100.0,1.00
7564,-1,0.00,100.0,1.00
7585,-1,0.10,100.0,0.90
7606,-1,0.85,100.0,0.15
7627,-1,0.00,100.0,1.00
7648,-1,0.00,100.0,1.00
7669,-1,0.30,100.0,0.70
7690,-1,0.65,100.0,0.35
7711,-1,0.00,100.0,1.00
7732,-1,0.00,100.0,1.00
7753,-1,0.50,100.0,0.50
7774,-1,0.45,100.0,0.55
7795,-1,0.00,100.0,1.00
7816,-1,0.00,100.0,1.00
7837,-1,0.70,100.0,0.30
7858,-1,0.25,100.0,0.75
7879,-1,0.00,100.0,1.00
7900,-1,0.00,90.47619047619048,1.00
7921,-1,0.90,9.523809523809524,0.10
7942,-1,0.05,80.95238095238095,0.95
7963,-1,0.00,90.47619047619048,1.00
7984,-1,0.05,100.0,0.95
8005,-1,0.90,100.0,0.10
8026,-1,0.00,100.0,1.00
8047,-1,0.00,100.0,1.00
8068,-1,0.25,100.0,0.75
8089,-1,0.70,100.0,0.30
8110,-1,0.00,100.0,1.00
8131,-1,0.00,90.47619047619048,1.00
8152,-1,0.45,100.0,0.55
8173,-1,0.50,100.0,0.50
8194,-1,0.00,100.0,1.00
8215,-1,0.00,100.0,1.00
8236,-1,0.65,100.0,0.35
8257,-1,0.30,100.0,0.70
8278,-1,0.00,100.0,1.00
8299,-1,0.00,100.0,1.00
8320,-1,0.85,100.0,0.15
8341,-1,0.10,100.0,0.90
8362,-1,0.00,100.0,1.00
8383,-1,0.00,100.0,1.00
8404,-1,0.95,100.0,0.05
8425,-1,0.00,100.0,1.00
8446,-1,0.00,100.0,1.00
8467,-1,0.20,100.0,0.80
8488,-1,0.75,100.0,0.25
8509,-1,0.00,100.0,1.00
8530,-1,0.00,100.0,1.00
8551,-1,0.40,100.0,0.60
8572,-1,0.55,100.0,0.45
8593,-1,0.00,100.0,1.00
8614,-1,0.00,100.0,1.00
8635,-1,0.60,100.0,0.40
8656,-1,0.35,100.0,0.65
8677,-1,0.00,100.0,1.00
8698,-1,0.00,100.0,1.00
8719,-1,0.80,100.0,0.20
8740,-1,0.15,100.0,0.85
8761,-1,0.00,100.0,1.00
8782,-1,0.00,100.0,1.00
8803,-1,1.00,57.14285714285714,0.00
8824,-1,0.00,95.23809523809523,1.00
8845,-1,0.00,100.0,1.00
8866,-1,0.15,100.0,0.85
8887,-1,0.80,100.0,0.20
8908,-1,0.00,100.0,1.00
8929,-1,0.00,100.0,1.00
8950,-1,0.35,80.95238095238095,0.65
8971,-1,0.60,66.66666666666666,0.40
8992,-1,0.00,100.0,1.00
9013,-1,0.00,100.0,1.00
9034,-1,0.55,61.904761904761905,0.45
9055,-1,0.40,100.0,0.60
9076,-1,0.00,100.0,1.00
9097,-1,0.00,100.0,1.00
9118,-1,0.75,42.857142857142854,0.25
9139,-1,0.20,71.42857142857143,0.80
9160,-1,0.00,100.0,1.00
9181,-1,0.00,100.0,1.00
9202,-1,0.95,100.0,0.05
9223,-1,0.00,100.0,1.00
9244,-1,0.00,100.0,1.00
9265,-1,0.10,100.0,0.90
9286,-1,0.85,14.285714285714285,0.15
9307,-1,0.00,100.0,1.00
9328,-1,0.00,100.0,1.00
9349,-1,0.30,95.23809523809523,0.70
9370,-1,0.65,100.0,0.35
9391,-1,0.00,100.0,1.00
9412,-1,0.00,100.0,1.00
9433,-1,0.50,61.904761904761905,0.50
9454,-1,0.45,71.42857142857143,0.55
9475,-1,0.00,66.66666666666666,1.00
